keys,en,ru
POWER_DMG_FIRST_ROW,[center]Retribution[/center],[center]Кара[/center]
POWER_DEFEND,[center]Barrier[/center],[center]Барьер[/center]
POWER_DMG_DISTANCE,[center]Surprise Attack[/center],[center]Внезапный Удар[/center]
POWER_DMG_NEIGHBORS,[center]Blast[/center],[center]Взрыв[/center]
POWER_DMG_MULTIUSE,[center]Quick Attack[/center],[center]Быстрый Удар[/center]
POWER_DMG_WAVE,[center]Shock Wave[/center],[center]Ударная Волна[/center]
POWER_MIND_CONTROL,[center]Takeover[/center],[center]Захват[/center]
POWER_PULL_DEFEND,[center]Attraction Beam[/center],[center]Притягивающий Луч[/center]
POWER_DESCRIPTION_DMG_FIRST_ROW,"4 dmg to any enemy in first wave","4 урона противнику в первой волне"
POWER_DESCRIPTION_DEFEND,"1 damage to target in first wave; 2 defend","1 урона противнику в первой волне; 2 защиты"
POWER_DESCRIPTION_DMG_DISTANCE,"1-4 dmg to 1 enemy, farther enemies take more dmg","1-4 урона противнику, чем дальше цель, тем больше урона"
POWER_DESCRIPTION_DMG_NEIGHBORS,"1 dmg to a target and its neighbors","1 урона цели и её соседям"
POWER_DESCRIPTION_DMG_MULTIUSE,"1 dmg to target","1 урона цели"
POWER_DESCRIPTION_DMG_WAVE,"2 dmg to target, 1 dmg to neighbors in same wave","2 урона цели, 1 урона соседям в этой волне"
POWER_DESCRIPTION_MIND_CONTROL,"Target enemy attacks an enemy behind it\n(Cannot target Thiefs)","Цель атакует соседа сзади\n(Нельзя выбирать целью Вора)"
POWER_DESCRIPTION_PULL_DEFEND,"Pull target one wave closer; Defend 1 for each enemy in first wave\n(Target cannot be in first wave, cannot have any other enemies in front of it)","Притянуть цель на 1 волну ближе; 1 защиты за каждого противника в первой волне\n(Нельщя выбрать цель в первой волне, перед целью не должно быть противников)"
POWER_DESCRIPTION_OVERLOAD_DMG_FIRST_ROW,"4 dmg to any enemy in first wave and 2 dmg to enemy right behind it","4 урона противнику в первой волне и 2 урона противнику позади цели"
POWER_DESCRIPTION_OVERLOAD_DEFEND,"1 damage to target in first wave; 3 defend","1 урона противнику в первой волне; 3 защиты"
POWER_DESCRIPTION_OVERLOAD_DMG_DISTANCE,"1-4 dmg to 1 enemy, farther enemies take more dmg; defend based on damage dealt","1-4 урона противнику, чем дальше цель, тем больше урона; защита в зависимости от нанесённого урона"
POWER_DESCRIPTION_OVERLOAD_DMG_NEIGHBORS,"1 dmg to all enemies in target square","1 урона всем противникам в квадратной области"
POWER_DESCRIPTION_OVERLOAD_DMG_MULTIUSE,"1 dmg to target; 1 dmg to another random enemy","1 урона цели; 1 урона другому случайному противнику"
POWER_DESCRIPTION_OVERLOAD_DMG_WAVE,"2 dmg to target, 1 dmg to other enemies in same wave","2 урона цели; 1 урона остальным противникам в этой волне"
POWER_DESCRIPTION_OVERLOAD_MIND_CONTROL,"Target enemy attacks an enemy behind it, dealing double damage\n(Cannot target Thiefs)","Цель атакует соседа сзади и наносит удвоенный урон\n(Нельзя выбирать целью Вора)"
POWER_DESCRIPTION_OVERLOAD_PULL_DEFEND,"Pull target one wave closer; Defend 2 for each enemy in first wave\n(Target cannot be in first wave, cannot have any other enemies in front of it)","Притянуть цель на 1 волну ближе; 2 защиты за каждого противника в первой волне\n(Нельщя выбрать цель в первой волне, перед целью не должно быть противников)"
